hidden_dims,activation,dropout_rate,lr,weight_decay,clip_value,epochs,early_stopping_patience,use_bn,val_mse,time_s
"[128, 64, 32]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.2655747583271133,161.0769395828247
"[256, 128, 64]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.26636988930960304,224.40549755096436
"[256, 128, 64]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.26922966279075494,2348.9714148044586
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.2697626125634911,187.711364030838
"[128, 64, 32]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.2699979014958873,225.5261311531067
"[128, 64, 32]",relu,0.1,0.001,0.001,1.0,80,15,True,0.2706691777154545,231.50221037864685
"[128, 64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.27104044067091165,126.3337984085083
"[256, 128, 64]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.27152859566800663,250.47068119049072
"[256, 128, 64]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.2724845609935036,150.76801800727844
"[256, 128, 64]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.27276084533673045,226.49607729911804
"[256, 128, 64]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.27292368534646183,140.35753965377808
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.27468535739905475,236.6140959262848
"[128, 64, 32]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.2752211599822598,226.3404061794281
"[256, 128, 64]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.27613532091930765,244.21209955215454
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.27639389098824835,205.172785282135
"[256, 128, 64]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.2775523135628726,158.48822593688965
"[256, 128, 64]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.27830792202446303,240.47228574752808
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.2787057924524011,189.6154179573059
"[128, 64, 32]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.2804898413841359,235.4253444671631
"[256, 128, 64]",relu,0.1,0.001,0.001,1.0,80,15,True,0.28052881283120173,213.7577929496765
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.28353044690321744,173.91936421394348
"[256, 128, 64]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.28496628179609107,233.84493112564087
"[128, 64, 32]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.28551085560633266,204.80391883850098
"[128, 64, 32]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.2870152062976158,206.67816591262817
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.28708637301893314,185.1115221977234
"[128, 64, 32]",relu,0.3,0.001,0.001,1.0,80,15,True,0.28735067450252116,226.44887256622314
"[128, 64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.2891620522428268,222.63851404190063
"[256, 128, 64]",relu,0.3,0.001,0.001,1.0,80,15,True,0.2895725550809317,109.09961581230164
"[64, 32]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.2911398800854257,166.48952674865723
"[64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.29519866072273654,161.6427583694458
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.2979126210022376,204.08452558517456
"[64, 32]",relu,0.1,0.001,0.001,1.0,80,15,True,0.29871167621443956,792.3795413970947
"[128, 64, 32]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.29901645559718504,175.728750705719
"[64, 32]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.29902138356538405,238.14972639083862
"[128, 64, 32]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.30316918740457993,216.32309246063232
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.3045121230878337,152.59174799919128
"[64, 32]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.3092410935429064,261.0861258506775
"[64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.31220077142788755,147.34573316574097
"[64, 32]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.31356038954706783,174.46716022491455
"[64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.3149402730723265,147.05952835083008
"[64, 32]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.31998783469888803,131.4180450439453
"[64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.32094040245535627,148.37412428855896
"[64, 32]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.3286913298822239,151.25342202186584
"[64, 32]",relu,0.3,0.001,0.001,1.0,80,15,True,0.3288018285072314,798.0676107406616
"[64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.33883884050566204,149.16146063804626
"[64, 32]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.33962855121636787,162.65438318252563
"[64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.34645150063183616,151.45403480529785
"[64, 32]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.34738815982233884,155.15020942687988
